Address,Lead_Status,Latitude,Longitude,Source,Last_Visited,Last_Result,Callback_Target,Notes,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,County_Source,Address_Normalized,Geocodio Latitude,Geocodio Longitude,In_Source_CSV,Price,Beds,Baths,SqFt,Sold Date,Redfin Link,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 2,Geocodio Address Line 3,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Source,Next_Eligible_Date,Street_Key,Street_Last_Visited,Street_Next_Eligible_Date,Street_Cooldown_Source
"000 Harbin Acres Rd, Seneca, SC 29678",ELIGIBLE,34.6655676,-82.8930493,tricounty,,,,,PAST SALE,2025-06-20,Single Family Residential,000 Harbin Acres Rd,Seneca,SC,29678,257000.0,3.0,2.0,,1526.0,50529.0,,,168.0,,Sold,,,https://www.redfin.com/SC/Seneca/117-Harbin-Acres-Rd-29678/home/129462194,Greater Greenville MLS,1527406.0,N,Y,34.6655676,-82.8930493,Oconee,000 HARBIN ACRES RD SENECA SC 29678,,,,,,,,,,,,,,,,,,,,,,,,,,HARBIN ACRES RD,,,
"002 Harbin Acres Rd Lot 2, Seneca, SC 29678",ELIGIBLE,34.664788,-82.891959,tricounty,,,,,PAST SALE,2025-03-14,Single Family Residential,002 Harbin Acres Rd Lot 2,Seneca,SC,29678,295400.0,3.0,2.0,Seneca,,44866.0,2024.0,,,,Sold,,,https://www.redfin.com/SC/Seneca/119-Harbin-Acres-Rd-29678/home/191757655,WUMLS,20277428.0,N,Y,34.664788,-82.891959,Oconee,002 HARBIN ACRES RD LOT 2 SENECA SC 29678,,,,,,,,,,,,,,,,,,,,,,,,,,HARBIN ACRES RD LOT 2,,,
"003 Harbin Acres Rd, Seneca, SC 29678",ELIGIBLE,34.6670794,-82.8930045,tricounty,,,,,PAST SALE,2025-12-15,Single Family Residential,003 Harbin Acres Rd,Seneca,SC,29678,314900.0,3.0,2.0,Seneca,1526.0,,2025.0,,206.0,,Sold,,,https://www.redfin.com/SC/Seneca/3-Harbin-Acres-Rd-29678/home/199635886,WUMLS,20279286.0,N,Y,34.6670794,-82.8930045,Oconee,003 HARBIN ACRES RD SENECA SC 29678,,,,,,,,,,,,,,,,,,,,,,,,,,HARBIN ACRES RD,,,
"1 Green St, Pelzer, SC 29669",ELIGIBLE,34.648454,-82.4598534,tricounty,,,,,PAST SALE,2025-08-15,Single Family Residential,1 Green St,Pelzer,SC,29669,176250.0,2.0,1.0,Pelzer,1064.0,,,,166.0,,Sold,,,https://www.redfin.com/SC/Pelzer/1-Green-St-29669/home/86710230,WUMLS,20286759.0,N,Y,34.648454,-82.4598534,Anderson,1 GREEN ST PELZER SC 29669,,,,,,,,,,,,,,,,,,,,,,,,,,GREEN ST,,,
"1 Hardy St, Williamston, SC 29697",ELIGIBLE,34.61817,-82.4933197,tricounty,,,,,PAST SALE,2025-10-17,Single Family Residential,1 Hardy St,Williamston,SC,29697,257000.0,2.0,1.0,,2207.0,21344.0,1956.0,,116.0,,Sold,,,https://www.redfin.com/SC/Williamston/1-Hardy-St-29697/home/86706367,Greater Greenville MLS,1565059.0,N,Y,34.61817,-82.4933197,Anderson,1 HARDY ST WILLIAMSTON SC 29697,,,,,,,,,,,,,,,,,,,,,,,,,,HARDY ST,,,
"1 Iron Clad Dr, Salem, SC 29676",ELIGIBLE,34.842528,-82.9112636,tricounty,,,,,PAST SALE,2025-02-18,Single Family Residential,1 Iron Clad Dr,Salem,SC,29676,675000.0,3.0,3.5,Keowee,7215.0,32234.0,2004.0,,94.0,436.0,Sold,,,https://www.redfin.com/SC/Salem/1-Iron-Clad-Dr-29676/home/129372929,Greater Greenville MLS,1544926.0,N,Y,34.842528,-82.9112636,Oconee,1 IRON CLAD DR SALEM SC 29676,,,,,,,,,,,,,,,,,,,,,,,,,,IRON CLAD DR,,,
"1 Kelly St, Belton, SC 29627",ELIGIBLE,34.5298266,-82.4970858,tricounty,,,,,PAST SALE,2025-05-02,Single Family Residential,1 Kelly St,Belton,SC,29627,200000.0,2.0,2.0,Abney Mills,1100.0,7840.0,,,182.0,,Sold,,,https://www.redfin.com/SC/Belton/1-Kelly-St-29627/home/86707585,Greater Greenville MLS,1551266.0,N,Y,34.5298266,-82.4970858,Anderson,1 KELLY ST BELTON SC 29627,,,,,,,,,,,,,,,,,,,,,,,,,,KELLY ST,,,
"1 Long Branch Ct, Anderson, SC 29621",ELIGIBLE,34.5610759419973,-82.6132750518385,tricounty,,,,,PAST SALE,2025-12-22,Single Family Residential,1 Long Branch Ct,Anderson,SC,29621,407009.0,4.0,2.5,Anderson,2109.0,10018.0,2025.0,,193.0,46.0,Sold,,,https://www.redfin.com/SC/Anderson/1-Long-Branch-Ct-29621/home/199290714,Greater Greenville MLS,1575745.0,N,Y,34.5610759419973,-82.6132750518385,Anderson,1 LONG BRANCH CT ANDERSON SC 29621,,,,,,,,,,,,,,,,,,,,,,,,,,LONG BRANCH CT,,,
"1 N Hammett St, Anderson, SC 29624",ELIGIBLE,34.4876129,-82.6486185,tricounty,,,,,PAST SALE,,Other,1 N Hammett St,Anderson,SC,29624,45000.0,,,,1015.0,5353.0,,,44.0,,,,,https://www.redfin.com/SC/Anderson/1-N-Hammett-St-29624/home/60700297,,,N,Y,34.4876129,-82.6486185,Anderson,1 N HAMMETT ST ANDERSON SC 29624,,,,,,,,,,,,,,,,,,,,,,,,,,N HAMMETT ST,,,
"1 Norris Ave, Liberty, SC 29657",ELIGIBLE,34.7823309,-82.6978367,tricounty,,,,,PAST SALE,,Single Family Residential,1 Norris Ave,Liberty,SC,29657,150000.0,3.0,1.0,,1038.0,12195.0,1956.0,,145.0,,,,,https://www.redfin.com/SC/Liberty/1-Norris-Ave-29657/home/87061123,,,N,Y,34.7823309,-82.6978367,Pickens,1 NORRIS AVE LIBERTY SC 29657,,,,,,,,,,,,,,,,,,,,,,,,,,NORRIS AVE,,,
