SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,County_Source,COUNTY_SOURCE
"In accordance with local MLS rules, some MLS listings are not included in the download",,,,,,,,,,,,,,,,,,,,,,,,,,,"Oconee County, SC","Oconee, SC"
PAST SALE,June-17-2022,Single Family Residential,212 W 4th St,Curtis,NE,69025,75000,4,1.0,Curtis,1087,,1920,,69,,Sold,,,https://www.redfin.com/NE/Curtis/212-W-4th-St-69025/home/133819789,GMNMLS,20220314,N,Y,40.6322171,-100.5179679,"Oconee County, SC","Oconee, SC"
PAST SALE,May-27-2022,Vacant Land,73929 381 Rd,Maywood,NE,69038,364900,5,3.0,Maywood,3024,,1939,,121,,Sold,,,https://www.redfin.com/NE/Maywood/73929-381-RD-69038/home/184217767,GMNMLS,20220206,N,Y,40.54381,-100.71124,"Oconee County, SC","Oconee, SC"
PAST SALE,January-2-2023,Single Family Residential,308 N Plum St,Maywood,NE,69038,78000,3,1.0,Maywood,950,,1978,,82,,Sold,,,https://www.redfin.com/NE/Maywood/308-N-Plum-St-69038/home/133820134,GMNMLS,20221560,N,Y,40.660276,-100.6232514,"Oconee County, SC","Oconee, SC"
PAST SALE,February-28-2023,Single Family Residential,802 Ord St,Curtis,NE,69025,132000,3,2.0,Curtis,1920,,1967,,69,,Sold,,,https://www.redfin.com/NE/Curtis/802-Ord-St-69025/home/133825523,GMNMLS,20221132,N,Y,40.6360315,-100.5178439,"Oconee County, SC","Oconee, SC"
PAST SALE,June-14-2021,Single Family Residential,302 N Plum St,Maywood,NE,69038,198000,4,3.0,MAYWOOD,3306,,1923,,60,,Sold,,,https://www.redfin.com/NE/Maywood/302-N-Plum-St-69038/home/133820570,GMNMLS,20210306,N,Y,40.6599009,-100.6231389,"Oconee County, SC","Oconee, SC"
PAST SALE,May-14-2021,Single Family Residential,203 W Anthony St,Eustis,NE,69028,160000,4,2.0,Eustis,2714,,1895,,59,,Sold,,,https://www.redfin.com/NE/Eustis/203-W-Anthony-St-69028/home/133818965,GMNMLS,20210305,N,Y,40.6644681,-100.0315425,"Oconee County, SC","Oconee, SC"
PAST SALE,September-30-2022,Single Family Residential,407 N Windom St,Eustis,NE,69028,138000,2,2.0,Eustis,2499,,1940,,55,,Sold,,,https://www.redfin.com/NE/Eustis/407-N-Windom-St-69028/home/133823995,GMNMLS,20221028,N,Y,40.6662414,-100.0280594,"Oconee County, SC","Oconee, SC"
PAST SALE,May-7-2021,Vacant Land,41875 747 Rd,Eustis,NE,69028,180000,2,1.0,Eustis,1328,206039,1895,,136,,Sold,,,https://www.redfin.com/NE/Eustis/41875-747-RD-69028/home/184220077,GMNMLS,20201505,N,Y,40.6561537215008,-100.005441566162,"Oconee County, SC","Oconee, SC"
PAST SALE,October-20-2022,Single Family Residential,303 N Hale St,Eustis,NE,69028,132500,3,2.0,Eustis,2842,,1920,,47,,Sold,,,https://www.redfin.com/NE/Eustis/303-N-Hale-St-69028/home/133825824,GMNMLS,20220953,N,Y,40.6651129,-100.0322573,"Oconee County, SC","Oconee, SC"
