SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,County_Source,COUNTY_SOURCE
"In accordance with local MLS rules, some MLS listings are not included in the download",,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenville County, SC","Greenville, SC"
PAST SALE,September-29-2023,Single Family Residential,1805 Mountain View Dr,Great Falls,MT,59405,349900,3,2.0,Great Falls,1312,11500,1966,,267,,Sold,,,https://www.redfin.com/MT/Great-Falls/1805-Mountain-View-Dr-59405/home/131972459,MRMLS,30012077,N,Y,47.4842585,-111.2476135,"Greenville County, SC","Greenville, SC"
PAST SALE,March-1-2021,Multi-Family (2-4 Unit),801 5th Ave N,Great Falls,MT,59401,92000,7,4.0,Great Falls,3858,7405,1905,,24,,Sold,,,https://www.redfin.com/MT/Great-Falls/801-5th-Ave-N-59401/home/132168698,MRMLS,22019249,N,Y,47.511007,-111.2935105,"Greenville County, SC","Greenville, SC"
PAST SALE,December-10-2021,Single Family Residential,2311 Expedition Ct,Great Falls,MT,59405,359900,3,2.5,Great Falls,2388,6098,2021,,151,,Sold,,,https://www.redfin.com/MT/Great-Falls/2311-Expedition-Ct-59405/home/172977666,MRMLS,22115629,N,Y,47.4802422,-111.2714535,"Greenville County, SC","Greenville, SC"
PAST SALE,December-2-2022,Single Family Residential,1709 6th Ave N,Great Falls,MT,59401,40000,3,1.0,Great Falls,1064,3484,1920,,38,,Sold,,,https://www.redfin.com/MT/Great-Falls/1709-6th-Ave-N-59401/home/131989334,MRMLS,22212624,N,Y,47.5120062,-111.2774812,"Greenville County, SC","Greenville, SC"
PAST SALE,May-19-2021,Mobile/Manufactured Home,1414 17th Ave SW,Great Falls,MT,59404,149900,2,2.0,University,1056,13503,1984,,142,,Sold,,,https://www.redfin.com/MT/Great-Falls/1414-17th-Ave-SW-59404/home/132029394,MRMLS,22103169,N,Y,47.4871633,-111.3390599,"Greenville County, SC","Greenville, SC"
PAST SALE,April-29-2021,Single Family Residential,4188 Highwood Dr,Great Falls,MT,59405,49900,3,2.0,Great Falls,1064,,,,47,,Sold,,,https://www.redfin.com/MT/Great-Falls/4188-Highwood-Dr-59405/home/183270612,MRMLS,22018938,N,Y,47.5162504,-111.2354739,"Greenville County, SC","Greenville, SC"
PAST SALE,May-7-2021,Single Family Residential,2739 Dawn Dr,Great Falls,MT,59404,330000,4,3.0,Great Falls,3179,8276,1972,,104,,Sold,,,https://www.redfin.com/MT/Great-Falls/2739-Dawn-Dr-59404/home/132036367,MRMLS,22102399,N,Y,47.4768528,-111.3411168,"Greenville County, SC","Greenville, SC"
PAST SALE,October-16-2025,Vacant Land,TBD US Highway 87,Great Falls,MT,59404,69000,,,Great Falls,,87120,,,,,Sold,,,https://www.redfin.com/MT/Great-Falls/TBD-Unknown/home/198658760,MRMLS,30053965,N,Y,47.5830256,-111.24587676,"Greenville County, SC","Greenville, SC"
PAST SALE,November-30-2021,Mobile/Manufactured Home,20 Trail Ln,Vaughn,MT,59487,78000,3,2.0,Vaughn,1456,,2015,,54,,Sold,,,https://www.redfin.com/MT/Vaughn/20-Trail-Ln-59487/home/183262627,MRMLS,22113665,N,Y,47.558724,-111.545875,"Greenville County, SC","Greenville, SC"
